idx,site_id,site_name_proposed,source,name_basin,lon,lat,total_score,bulkley_falls_downstream,floodplain_ind,owner_type,name_wet_house,house,clan,clan_english,chiefs,model_spawning_ch,model_spawning_co,model_spawning_st,model_spawning_ch_score,model_spawning_co_score,model_spawning_st_score,model_rearing_ch,model_rearing_co,model_rearing_st,model_rearing_ch_score,model_rearing_co_score,model_rearing_st_score,gate_diagnostic_certainty,gate_active_degradation_clear,gate_access_willingness,project_type,watershed_function_gain,root_cause_alignment,scale_of_benefit_ha,fish_habitat_connectivity,probability_of_success,cultural_significance,collective_wellbeing,passive_first_bonus,delivery_bucket,framework_score,notes
139,NA,NA,ncfdc_1998_riparian,Buck Creek Downstream Falls,-126.63486955741936,54.38370597756976,20,0,1,Private,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,NA,NA,ncfdc_1998_riparian,Buck Creek Downstream Falls,-126.63410518807112,54.37959164298592,27,0,0,Crown Provincial,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,NA,NA,ncfdc_1998_riparian,Buck Creek Downstream Falls,-126.62891375283299,54.3697357890729,30,0,1,Crown Provincial,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,NA,NA,ncfdc_1998_riparian,Buck Creek Downstream Falls,-126.6579096099538,54.40264721727552,30,0,1,Local Government,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,NA,NA,ncfdc_1998_riparian,Buck Creek Downstream Falls,-126.65557881053176,54.402988529846766,30,0,1,Local Government,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,NA,NA,ncfdc_1998_riparian,Buck Creek Downstream Falls,-126.65404832848745,54.40253627761641,30,0,1,Local Government,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,NA,NA,ncfdc_1998_riparian,Buck Creek Downstream Falls,-126.64964317190005,54.39577119813858,30,0,1,Local Government,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,NA,NA,ncfdc_1998_riparian,Buck Creek Downstream Falls,-126.64379907882979,54.39236699955476,30,0,1,Untitled Provincial,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,NA,NA,ncfdc_1998_riparian,Buck Creek Downstream Falls,-126.64092547033272,54.39116916457137,30,0,1,Untitled Provincial,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,NA,NA,ncfdc_1998_riparian,Buck Creek Downstream Falls,-126.63904022634019,54.39046705648085,30,0,1,Untitled Provincial,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
