year,item,link_view,link_download
2025,maxan_mx1,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_mx1/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_mx1/odm_dem/dsm.tif</a>"
2025,buck_buc207,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc207/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc207/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc207/odm_orthophoto/odm_orthophoto.tif</a>"
2025,buck_buc207,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc207/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc207/odm_dem/dtm.tif</a>"
2025,buck_buc207,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc207/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc207/odm_dem/dsm.tif</a>"
2025,197640_buck_buc192,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/197640_buck_buc192/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/197640_buck_buc192/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/197640_buck_buc192/odm_orthophoto/odm_orthophoto.tif</a>"
2025,197640_buck_buc192,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/197640_buck_buc192/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/197640_buck_buc192/odm_dem/dtm.tif</a>"
2025,197640_buck_buc192,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/197640_buck_buc192/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/197640_buck_buc192/odm_dem/dsm.tif</a>"
2025,bulkley_bul38,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul38/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul38/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul38/odm_orthophoto/odm_orthophoto.tif</a>"
2025,bulkley_bul38,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul38/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul38/odm_dem/dtm.tif</a>"
2025,bulkley_bul38,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul38/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul38/odm_dem/dsm.tif</a>"
2025,maxan_mx2,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_mx2/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_mx2/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_mx2/odm_orthophoto/odm_orthophoto.tif</a>"
2025,maxan_mx2,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_mx2/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_mx2/odm_dem/dtm.tif</a>"
2025,maxan_mx2,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_mx2/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_mx2/odm_dem/dsm.tif</a>"
2025,bulkley_br5,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_br5/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_br5/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_br5/odm_orthophoto/odm_orthophoto.tif</a>"
2025,bulkley_br5,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_br5/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_br5/odm_dem/dtm.tif</a>"
2025,bulkley_br5,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_br5/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_br5/odm_dem/dsm.tif</a>"
2025,buck_buc7,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc7/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc7/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc7/odm_orthophoto/odm_orthophoto.tif</a>"
2025,buck_buc7,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc7/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc7/odm_dem/dtm.tif</a>"
2025,buck_buc7,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc7/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc7/odm_dem/dsm.tif</a>"
2025,buck_buc172,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc172/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc172/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc172/odm_orthophoto/odm_orthophoto.tif</a>"
